Technology Name,Source,Definition
3D-Printed Houses Using Local Materials,WEF Top 10 Emerging Technologies 2021,3D-Printed houses using local materials are homes built by machines that layer materials sourced from nearby to create walls and structures quickly and efficiently.
6G,Gartner Hype Cycle 2024,"6G is the next generation of mobile communication technology that aims to provide faster speeds, greater connectivity, and improved support for advanced applications compared to 5G."
AI Augmented Software Engineering,Gartner Hype Cycle 2024,"AI Augmented Software Engineering is the use of artificial intelligence tools to help software developers write, test, and maintain software more efficiently and effectively."
AI for Scientific Discovery,WEF Top 10 Emerging Technologies 2024,AI for Scientific Discovery is the use of computer systems to help researchers find new knowledge and solutions in science by analyzing data and identifying patterns.
AI TRiSM,Gartner Hype Cycle 2024,"AI TRiSM is a set of practices that ensure artificial intelligence systems are trustworthy, responsible, and secure."
AI-facilitated healthcare,WEF Top 10 Emerging Technologies 2023,"AI-facilitated healthcare refers to the use of artificial intelligence technologies to improve medical services, such as diagnosis, treatment planning, and patient care."
Alternative Livestock Feeds,WEF Top 10 Emerging Technologies 2024,"Alternative livestock feeds are non-traditional food sources for animals, often made from byproducts or unusual plants, used to supplement or replace regular feed."
Autonomous Agents,Gartner Hype Cycle 2024,"Autonomous agents are computer programs that can perform tasks or make decisions on their own, without needing constant human assistance."
Carbon-capturing Microbes,WEF Top 10 Emerging Technologies 2024,Carbon-capturing microbes are tiny living organisms that absorb carbon dioxide from the air or environment and help reduce greenhouse gas levels.
cloud-native,Gartner Hype Cycle 2024,"Cloud-native refers to an approach for building and running applications that optimally use cloud computing features, allowing for greater flexibility, scalability, and resilience."
Cybersecurity Mesh Architecture,Gartner Hype Cycle 2024,Cybersecurity Mesh Architecture is a flexible and scalable way to protect different parts of a computer network by connecting security tools and strategies in a cohesive manner.
Decarbonization Technologies,WEF Top 10 Emerging Technologies 2021,Decarbonization technologies are methods and tools used to reduce or eliminate carbon dioxide emissions from energy sources and industrial processes.
